id,product,company_id,modelname,model_number,category
105,Terro Bug Aerosol Spray,96,Spider Killer,T2302,Consumer Goods
106,Batteries,97,AA Alkaline,LR6 1.5V,Consumer Goods
107,Wireless Headphones,98,WLGSTAMINA,2AG5C-STAMINA,Consumer Goods
108,Tronco 20oz Glass Tumbler,99,Tronco 20oz Glass Tumbler Glass Water Bottle Straw Silicone Protective Sleeve Bamboo Lid - BPA Free,B07H3SNFQN,Consumer Goods
109,"APEX LEGENDS 2,150 COINS",100,"2,150 COINS XBOX ONE",B07NZQXWXP,Consumer Goods
110,Crock-Pot Cook and Carry Portable Manual Slow Cooker,101,6-Quart Capacity,SCCPVL600-B,Consumer Goods
111,Neaterize Cube Organizer,102,6 Cube Configuration,DIY ORG6 - Black,Consumer Goods
112,Men's Marijuana Necktie - Pot Leaf Necktie - Marijuana Gift for men - Cannabis Gift - CBD gift,103,ASIN: B07TCQHV2N,ASIN: B07TCQHV2N,Consumer Goods
113,Stainless steel tongue cleaner,104,6 inch,0,Consumer Goods
114,Samsung 860 EVO 500GB 2.5 Inch SATA III Internal SSD (MZ-76E500B/AM),105,860 EVO,MZ-76E500B/AM,Consumer Goods
115,The Steampunk Tarot ,106,Cards,ISBN: 978-0738726380,Consumer Goods
116,Blender,107,1.5 L classic cream 3 in 1,SG-201,Consumer Goods
117,"Lenovo 17"" lapto ideapad 110",108,"17 - inch, 2017, black ",ideapad110,Consumer Goods
118,Harney & Sons Dragon Pearl Jasmine Tea,109,Sachets,X000J6Y8WR,Consumer Goods
119,SuperNail Buffing Cream,110,2 oz.,Item #31615,Consumer Goods
120,Xbox live,111,1 month Xbox live,10597053432,Consumer Goods
121,Trader Joe's Mexicali salad,9,Not applicable ,NA,Consumer Goods
122,"Low-Cut Socks,",19,"Women's 6-Pack Casual Low-Cut Socks, Black Assorted,",NA,Consumer Goods
123,shoes,112,"Women's Quesa, Black/Grey/White",NA,Consumer Goods
124,shoes,113,energy light,NA,Consumer Goods
125,Amazer Shower Curtain,114,"72"" W x 72"" H EVA 8G Shower Curtain with Heavy Duty Clear Stones and 12 Grommet Holes Waterproof Thick Bathroom Plastic Shower Curtains Without Chemical Odor-Clear",B07236M4HC,Consumer Goods
126,Ninja Blender/Food Processor,115,Master Prep Professional,QB1004,Consumer Goods
127,GetFit Resistance Bands Set 27322 ,116,5 color coded band set,27322,Consumer Goods
128,Oral b kids toothbrush ,117,Elsa kids,NA,Consumer Goods
129,Amplixin hair growth shapmpoo,118,Hair growth shampoo,amp6425,Consumer Goods
130,dualshock 4 wireless controller for ps4 blue camo,119,dualshock 4,3003235,Consumer Goods
131,Apple,120,New model 2019,A1932 EMC 3184,Consumer Goods
132,Acer Aspire 14 inch laptop,121,14 inch,A114-32-C1YA,Consumer Goods
133,playstation 4,119,PS4 Slim 1TB,3003348,Consumer Goods
134,Bluetooth speaker,122,Oontz angle 3rd gen,B010oyasrg,Consumer Goods
135,Video game,123,Call of duty black ops 4,88225UK,Consumer Goods
136,TV stand,124,"Table top tv stand with glass bottom, 32 to 47 inch",WL-TVDVD-01,Consumer Goods
137,Flat screen tv,125,"55"" 4k ultra HD LED TV",55um7300pua,Consumer Goods
138,Extension cord,19,15 foot black 3 outlet,40318-F15B,Consumer Goods
139,Friskies Gravy Swirlers Cat food,126,Friskies gravy swirlers,B07CWV479K,Consumer Goods
140,Sync and charge cable with lighting connector,127,Sync and charge cable with lighting connector #1917B,1917B,Consumer Goods
141,Kids travel airbed,128,Kids travel airbed,14964,Consumer Goods
142,Swim parka,129,Fleece lined youth parka,NA,Consumer Goods
143,Frigidaire window air conditioning unit,130,"6,000 BTU ac unit",FFRA0611R1,Consumer Goods
